authorId,name
2482533,Mo Yu
50057811,Wahab Khan
40247823,Ali Daud
39488669,Khairullah Khan
2225120691,Shakoor Muhammad
41079214,Rafiul Haq
3043830,Yiming Cui
2256319,Wanxiang Che
40282288,Ting Liu
152277111,Bing Qin
2108620507,Shijin Wang
40936264,Guoping Hu
3008832,Lingfei Wu
2144836395,Yu Chen
2068807200,Kai Shen
46909769,Xiaojie Guo
116267999,Hanning Gao
2109104122,Shucheng Li
145525190,J. Pei
2052143728,Bo Long
1516120843,Tony Sun
146072982,Andrew Gaut
148149462,Shirlyn Tang
2154731574,Yuxin Huang
2165346,Mai Elsherief
33524946,Jieyu Zhao
1705929,Diba Mirza
1397933253,E. Belding-Royer
2782886,Kai-Wei Chang
1682479,William Yang Wang
2119320633,A. Kumar
2329943,Ozan Irsoy
3214791,Peter Ondruska
2136562,Mohit Iyyer
2065251344,James Bradbury
2708454,Ishaan Gulrajani
3428769,Victor Zhong
2896063,Romain Paulus
2166511,R. Socher
49548657,Ivano Lauriola
2192424,A. Lavelli
1788286,F. Aiolli
2257193842,Bohan Li
8471176,Yutai Hou
2273203486,Bukuroshe Elira Epoka
144053995,Martin Müller
3046313,M. Salathé
2679230,P. Kummervold
144547315,E. Hovy
9358910,Shrimai Prabhumoye
2224169234,Petros Boulieris
2291362419,John Pavlopoulos
98111793,Alexandros Xenos
1715463,V. Vassalos
46609506,Amir Feder
145137850,Katherine A. Keith
2125374460,Emaad A. Manzoor
2253657208,Reid Pryzant
153485411,Dhanya Sridhar
1411379613,Zach Wood-Doughty
144154709,Jacob Eisenstein
2361828,Justin Grimmer
1762757,Roi Reichart
2464550,Margaret E. Roberts
28924497,Brandon M Stewart
2974320,Victor Veitch
2143853895,Ge Zhang
2004672900,Kexin Yang
49402878,Ning Shi
150341221,Wangchunshu Zhou
2218114137,Shaochun Hao
2218054707,Guangzheng Xiong
2129449392,Yizhi Li
2191710039,Mong Yuan Sim
46772896,Xiuying Chen
2152206274,Qingqing Zhu
2218306363,Zhenzhu Yang
2189375026,A. Nik
11149237,Qi Liu
2268783,Chenghua Lin
2144215438,Shi Wang
7247867,Ruibo Liu
2109664620,Wenhu Chen
2249845515,Ke Xu
7415571,Dayiheng Liu
2118270918,Yi-Ting Guo
49252800,Jie Fu
