from,to
596c882de006e4bb4a93f1fa08a5dd467bee060a,volume::north american chapter of the association for computational linguistics::2015
f4f6bfacb4cd508df62540f5aa9ba30cd83dd127,volume::north american chapter of the association for computational linguistics::2006
91a93f751f912b2f96d6771018d8f06c41e11152,volume::news@acl::2015
10a4db59e81d26b2e0e896d3186ef81b4458b93f,volume::transactions of the association for computational linguistics::2015
c34e41312b47f60986458759d5cc546c2b53f748,volume::annual meeting of the association for computational linguistics::2015
bb1087e8dee2039f773c381a3449a1c382482da6,volume::annual meeting of the association for computational linguistics::2017
6ed9417eaa7ee16f0563599829a061421a3e0563,volume::annual meeting of the association for computational linguistics::2006
ea2563467c1c472a346d165b7f97c86317d63ca4,volume::human language technology - the baltic perspectiv::2005
fbf417c83ae5b895fc645346e4efbf3a0aabeac9,volume::north american chapter of the association for computational linguistics::2014
6aed419cb7926218d1ffe378c0fc63b1a82f6302,volume::transactions of the association for computational linguistics::2015
e54d8b07ef659f9ee2671441c4355e414e408836,volume::north american chapter of the association for computational linguistics::2006
733b821faeebe49b6efcf5369e3b9902b476529e,volume::annual meeting of the association for computational linguistics::2016
832fc9327695f7425d8759c6aaeec0fa2d7b0a90,volume::annual meeting of the association for computational linguistics::2016
9e85832b04cc3700c2c26d6ba93fdeae39cac04a,volume::conll/lll::2000
d3b27746f7a53f2dc5d9b8c2f3d343313622ec36,volume::annual meeting of the association for computational linguistics::2005
b5e12de7d3f2a66bfcf10a510f9ac80afb3541c1,volume::annual meeting of the association for computational linguistics::2009
