from,to,corresponding
3274505,839c069fc576c816b89d84aa7c18849874de486a,false
2234200,839c069fc576c816b89d84aa7c18849874de486a,false
1942463,839c069fc576c816b89d84aa7c18849874de486a,false
3168858,839c069fc576c816b89d84aa7c18849874de486a,false
1778825,839c069fc576c816b89d84aa7c18849874de486a,false
2176047,839c069fc576c816b89d84aa7c18849874de486a,false
2653623,839c069fc576c816b89d84aa7c18849874de486a,false
97571985,839c069fc576c816b89d84aa7c18849874de486a,false
38431161,839c069fc576c816b89d84aa7c18849874de486a,false
7914036,839c069fc576c816b89d84aa7c18849874de486a,false
1807113,839c069fc576c816b89d84aa7c18849874de486a,false
2280834096,26ca95a72994fdba1c1855eb6b699f98c992b5f4,true
38319925,26ca95a72994fdba1c1855eb6b699f98c992b5f4,false
2052291510,362855ec18b3febbbb668a85221d59ff094ec1b2,true
2254232,362855ec18b3febbbb668a85221d59ff094ec1b2,false
144430191,b66f7fc0358559d45e8df40bba7fa871780d570f,true
1711630,b66f7fc0358559d45e8df40bba7fa871780d570f,false
1686547,b66f7fc0358559d45e8df40bba7fa871780d570f,false
1717127,5160fb34a6719bbf8d60743d0d27db0ed5df3d2a,true
2254232,ea42179db265948c8b666f35585486e346faecd9,true
1687211,ea42179db265948c8b666f35585486e346faecd9,false
2367532,ea42179db265948c8b666f35585486e346faecd9,false
1888104,f02ae995020a9bf4d9ca251d0f35a9e9eb09cc8d,true
1678202,f02ae995020a9bf4d9ca251d0f35a9e9eb09cc8d,false
49223443,f02ae995020a9bf4d9ca251d0f35a9e9eb09cc8d,false
144812095,f02ae995020a9bf4d9ca251d0f35a9e9eb09cc8d,false
35250359,f02ae995020a9bf4d9ca251d0f35a9e9eb09cc8d,false
1742391,c2eb8cbfa71ead3e30d08fa5f2712a51950c6a40,true
47047681,71809d928768af9995271feb8ba6135b311db83b,true
2812268,71809d928768af9995271feb8ba6135b311db83b,false
48631331,71809d928768af9995271feb8ba6135b311db83b,false
144456394,718c1aee5db0471cd1014840e774b4fec4655aa9,true
1691108,718c1aee5db0471cd1014840e774b4fec4655aa9,false
1744383,44710d563b5ebeacaeb95935c58d1051cf723e8d,true
31785651,44710d563b5ebeacaeb95935c58d1051cf723e8d,false
3182988,6dc7b1da99e30592b54f2148c85e8725563011f7,true
1699540,6dc7b1da99e30592b54f2148c85e8725563011f7,false
38690711,6dc7b1da99e30592b54f2148c85e8725563011f7,false
1769868,6dc7b1da99e30592b54f2148c85e8725563011f7,false
2915064,6dc7b1da99e30592b54f2148c85e8725563011f7,false
2124823801,6dc7b1da99e30592b54f2148c85e8725563011f7,false
2772109,91d6e8ba5dd90b02fe3bd870b19da13a6167af53,true
1452726253,c41b39c18e3cd95ab6e4f7881517512fbd810d1d,true
1398574232,7e389752f7a62fef34ccb4e24cd90aa4c1fe0d06,true
1742391,7e389752f7a62fef34ccb4e24cd90aa4c1fe0d06,false
1737896,7e389752f7a62fef34ccb4e24cd90aa4c1fe0d06,false
46934259,56129827ca17ffba848024a7fd0d1c10e8f3ef1a,true
2282960476,f86cefe05621180a48856c9f23a55bf587d7476b,true
145647476,1b2457906994b5942b0ecc6e0ca38e2e3b2450c7,true
1765803,1b2457906994b5942b0ecc6e0ca38e2e3b2450c7,false
2244904176,befc8b8f3865cfbb35634ea4db4aeca20a339d71,true
2244904176,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
144741052,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
144741052,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1762972,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1784539,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1784539,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1764529,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1790441,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
34379241,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1763327,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
145335162,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
152489654,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
152489654,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
47920425,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
40647481,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
49948951,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
52634391,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
12854342,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
144451114,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
2146630190,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
145284992,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
145570704,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1759308,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1781674,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
50060780,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
39885039,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
145228576,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
4651839,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
40542122,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1789069,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
36552013,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
2377581600,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
39547962,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
2055636722,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
14665085,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
73214471,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
12678691,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
2745664,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1932605,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
2129419329,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
1398174262,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
40341812,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
144099823,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
49471267,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
4027201,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
144163967,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
2110139906,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
3116623,befc8b8f3865cfbb35634ea4db4aeca20a339d71,false
